"momento","bairro","faixa_idade","estuda","sentimentos","afeta_vida","avontade_opinar","confia_eleitos","afasta","ja_participou","onde_discute","sabia_participar","criado_em"
"inicio","Outro bairro","18+","","","","","","","nunca","","","2026-06-18T10:40:01.385892+00:00"
"inicio","Parque Oziel","12–13","escola pública","não é pra mim","3","3","3","é tudo corrupto","nunca","TikTok / Insta","sabia mas nunca fui","2026-06-16T13:03:28.658387+00:00"
"inicio","Outro bairro","18+","não estudo agora","vontade de mudar algo","5","4","3","nada me afasta","às vezes","WhatsApp da família; TikTok / Insta","sabia mas nunca fui","2026-06-08T18:08:49.797288+00:00"
"inicio","Campo Grande","16–17","escola pública","não é pra mim","5","5","1","é tudo corrupto; não muda nada; ninguém escuta jovem","nunca","escola; não discuto; TikTok / Insta","não sabia que dava","2026-06-16T01:16:16.374254+00:00"
"inicio","Parque Oziel","16–17","escola pública","curiosidade; medo de falar errado","3","2","2","não entendo do assunto; medo de me expor; não muda nada","nunca","não discuto; TikTok / Insta","não sabia que dava","2026-06-15T23:28:02.324816+00:00"
"inicio","Parque Oziel","16–17","escola pública","curiosidade","1","5","2","não tenho tempo","uma vez","escola","sabia mas nunca fui","2026-06-15T23:44:36.126811+00:00"
"inicio","Parque Oziel","14–15","escola particular","não é pra mim","3","3","3","é tudo corrupto","às vezes","TikTok / Insta","sabia mas nunca fui","2026-06-16T11:59:49.769093+00:00"
"inicio","Parque Oziel","18+","curso técnico","vontade de mudar algo","4","4","1","medo de me expor","às vezes","não discuto","não sabia que dava","2026-06-16T12:52:03.149063+00:00"
"inicio","Parque Oziel","18+","não estudo agora","não é pra mim","4","1","4","não muda nada","sempre que dá","igreja","sabia e já fui","2026-06-16T12:55:24.45699+00:00"
"inicio","Parque Oziel","16–17","curso técnico","raiva / nojo; desânimo; vontade de mudar algo","5","4","1","é tudo corrupto; não muda nada; medo de me expor; ninguém escuta jovem","às vezes","WhatsApp da família; amigos","não sabia que dava","2026-06-16T13:15:02.595316+00:00"
"inicio","Jardim do Lago","12–13","escola pública","curiosidade","5","5","3","nada me afasta","às vezes","escola","sabia mas nunca fui","2026-06-25T00:18:23.024576+00:00"
"inicio","Parque Oziel","12–13","escola pública","curiosidade","2","3","3","não entendo do assunto","às vezes","escola; amigos","não sabia que dava","2026-06-25T01:24:54.695353+00:00"
"inicio","Gleba B","12–13","escola pública","não é pra mim","1","1","3","não muda nada","nunca","não discuto","não sabia que dava","2026-06-25T01:36:23.311849+00:00"
"inicio","Jardim Monte Cristo","12–13","escola pública","vontade de mudar algo","1","2","3","não muda nada","nunca","TikTok / Insta","sabia mas nunca fui","2026-06-25T01:38:36.788416+00:00"
"inicio","Jardim Monte Cristo","14–15","escola pública","não é pra mim","2","1","1","não entendo do assunto","nunca","não discuto","não sabia que dava","2026-06-25T01:40:45.442548+00:00"
"inicio","Jardim Monte Cristo","12–13","escola pública","vontade de mudar algo","2","1","1","nada me afasta","nunca","não discuto","não sabia que dava","2026-06-25T01:43:57.048074+00:00"
"inicio","Jardim Monte Cristo","12–13","escola pública","vontade de mudar algo","1","2","3","não muda nada","nunca","TikTok / Insta","sabia mas nunca fui","2026-06-25T01:46:38.336784+00:00"
"inicio","Jardim Monte Cristo","18+","não estudo agora","vontade de mudar algo","3","1","","não muda nada","sempre que dá","WhatsApp da família","não sabia que dava","2026-06-24T17:23:30.796958+00:00"
"inicio","Jardim Monte Cristo","14–15","","distante de mim","3","3","","não entendo do assunto","nunca","não discuto","não sabia que dava","2026-06-24T17:54:02.213054+00:00"
"inicio","Parque Oziel","12–13","escola pública","não é pra mim; curiosidade; medo de falar errado","1","1","1","não entendo do assunto","nunca","não discuto","não sabia que dava","2026-06-24T17:59:34.841777+00:00"
"inicio","Gleba B","12–13","escola pública","raiva / nojo; curiosidade","3","1","2","ninguém escuta jovem","nunca","WhatsApp da família; escola; amigos; na rua / bairro","não sabia que dava","2026-06-24T18:24:52.745122+00:00"
"inicio","Gleba B","12–13","escola pública","vontade de mudar algo","","5","1","é tudo corrupto","sempre que dá","amigos","sabia e já fui","2026-06-24T18:32:13.641058+00:00"
"inicio","Jardim Monte Cristo","12–13","escola pública","curiosidade","3","3","3","medo de me expor","nunca","TikTok / Insta","não sabia que dava","2026-06-24T18:41:03.379249+00:00"
"inicio","Jardim do Lago","12–13","escola pública","vontade de mudar algo","3","3","2","medo de me expor; ninguém escuta jovem","sempre que dá","amigos","sabia mas nunca fui","2026-06-24T18:49:18.544179+00:00"
"inicio","Campo Grande","14–15","escola pública","raiva / nojo; desânimo; vontade de mudar algo","5","1","1","é tudo corrupto; não muda nada","nunca","não discuto","não sabia que dava","2026-06-26T17:56:06.550927+00:00"
"inicio","Parque Oziel","16–17","escola pública","não é pra mim","1","1","1","nada me afasta; não muda nada","nunca","TikTok / Insta; amigos; na rua / bairro; não discuto","","2026-06-25T01:27:56.036694+00:00"
"inicio","Jardim Monte Cristo","16–17","escola pública","não é pra mim","1","1","3","não entendo do assunto","nunca","WhatsApp da família","não sabia que dava","2026-06-24T17:27:37.610991+00:00"
"inicio","Campo Grande","16–17","escola pública","não é pra mim; vontade de mudar algo; medo de falar errado","3","2","3","é tudo corrupto; ninguém escuta jovem","nunca","escola","não sabia que dava","2026-06-26T17:56:24.592476+00:00"
"inicio","Outro bairro","12–13","escola pública","distante de mim","3","","","","nunca","","","2026-06-24T18:38:03.443684+00:00"
"inicio","Gleba B","12–13","escola pública","vontade de mudar algo","3","4","1","","nunca","","","2026-06-24T18:47:31.947+00:00"
"inicio","Outro bairro","12–13","escola particular","curiosidade","5","5","3","","nunca","","","2026-06-24T18:43:31.30539+00:00"
"inicio","Gleba B","12–13","escola pública","vontade de mudar algo","5","1","1","é tudo corrupto","nunca","TikTok / Insta","sabia mas nunca fui","2026-06-24T17:56:50.809395+00:00"
"inicio","Campo Grande","16–17","escola pública","não é pra mim; raiva / nojo; distante de mim","3","1","1","não entendo do assunto; não muda nada","nunca","não discuto","não sabia que dava","2026-06-26T17:55:03.436846+00:00"
"inicio","Campo Grande","14–15","escola pública","não é pra mim; curiosidade","3","3","1","não entendo do assunto","nunca","não discuto","não sabia que dava","2026-06-26T17:55:11.865047+00:00"
"inicio","Campo Grande","16–17","escola pública","não é pra mim","1","3","3","não entendo do assunto; não muda nada","nunca","WhatsApp da família; não discuto","sabia mas nunca fui","2026-06-26T17:55:12.700961+00:00"
"inicio","Campo Grande","16–17","escola pública","não é pra mim","3","5","1","não entendo do assunto; é tudo corrupto","nunca","TikTok / Insta","sabia mas nunca fui","2026-06-26T17:55:16.860176+00:00"
"inicio","Outro bairro","16–17","escola pública","não é pra mim","3","2","2","não entendo do assunto; não tenho tempo; não muda nada","nunca","não discuto","não sabia que dava","2026-06-26T17:55:19.079513+00:00"
"inicio","Campo Grande","16–17","escola pública","curiosidade","5","3","4","não muda nada","nunca","TikTok / Insta; não discuto","não sabia que dava","2026-06-26T17:55:24.241723+00:00"
"inicio","Campo Grande","14–15","escola pública","vontade de mudar algo","4","5","1","é tudo corrupto; ninguém escuta jovem","às vezes","TikTok / Insta","sabia mas nunca fui","2026-06-26T17:56:32.327781+00:00"
"inicio","Campo Grande","16–17","escola pública","não é pra mim","1","1","3","não entendo do assunto","nunca","escola; amigos","sabia mas nunca fui","2026-06-26T17:56:39.694164+00:00"
"inicio","Campo Grande","16–17","escola pública","não é pra mim; distante de mim; medo de falar errado","5","2","2","não entendo do assunto","nunca","não discuto","sabia mas nunca fui","2026-06-26T17:56:48.367654+00:00"
"inicio","Campo Grande","16–17","escola pública","vontade de mudar algo; curiosidade","5","5","3","ninguém escuta jovem","nunca","escola; TikTok / Insta; amigos","sabia mas nunca fui","2026-06-26T17:57:29.983223+00:00"
"inicio","Campo Grande","16–17","escola pública","vontade de mudar algo","5","5","3","medo de me expor; ninguém escuta jovem","às vezes","amigos; escola; WhatsApp da família","não sabia que dava","2026-06-26T17:57:36.51896+00:00"
